prop,naive_estimate,lower_bound,upper_bound,query_threshold,anti_black_bias,dataset_name
0.03665222587391694,-0.07283973268826557,-0.0760007992041165,-0.06367199,0.25,FALSE,co_statewide_2020_04_01.csv
0.9633477741260832,0.1474489787654579,0.140053591008367,0.226974,0.25,TRUE,co_statewide_2020_04_01.csv
0.03665222587391694,-0.07283973268826557,-0.0685324410549287,-0.04920092,0.5,FALSE,co_statewide_2020_04_01.csv
0.9633477741260832,0.1474489787654579,0.1284892,0.3627788,0.5,TRUE,co_statewide_2020_04_01.csv
0.03665222587391694,-0.07283973268826557,-0.0640051351635551,-0.01548131,0.75,FALSE,co_statewide_2020_04_01.csv
0.9633477741260832,0.1474489787654579,0.09790302,0.7883732,0.75,TRUE,co_statewide_2020_04_01.csv
0.04242315354663097,0.00924072621636505,0.00448907884393374,0.021885077861066,0.25,FALSE,oh_statewide_2020_04_01.csv
0.957576846453369,0.07350404041258754,0.066958753899972,0.103224685325291,0.25,TRUE,oh_statewide_2020_04_01.csv
0.04242315354663097,0.00924072621636505,0.00766628610919659,0.0482388,0.5,FALSE,oh_statewide_2020_04_01.csv
0.957576846453369,0.07350404041258754,0.0700416098570063,0.1692688,0.5,TRUE,oh_statewide_2020_04_01.csv
0.04242315354663097,0.00924072621636505,0.0111170766580307,0.111363035455734,0.75,FALSE,oh_statewide_2020_04_01.csv
0.957576846453369,0.07350404041258754,0.0727365163981982,0.3391094,0.75,TRUE,oh_statewide_2020_04_01.csv
1.5469710838536e-4,-0.02048317656943182,-0.022029919136496202,-0.01594599,0.25,FALSE,wa_statewide_2020_04_01.csv
0.9998453028916148,0.03682266138043816,0.0289361599921191,0.0547516984663368,0.25,TRUE,wa_statewide_2020_04_01.csv
1.5469710838536e-4,-0.02048317656943182,-0.0195632505212258,-0.0116799854005238,0.5,FALSE,wa_statewide_2020_04_01.csv
0.9998453028916148,0.03682266138043816,0.02933362,0.0920677436666418,0.5,TRUE,wa_statewide_2020_04_01.csv
1.5469710838536e-4,-0.02048317656943182,-0.0160861716600594,-0.00127038008805184,0.75,FALSE,wa_statewide_2020_04_01.csv
0.9998453028916148,0.03682266138043816,0.0329092193935239,0.199317440767851,0.75,TRUE,wa_statewide_2020_04_01.csv
0.00110026757986705,3.1304359579599e-4,-0.00566573295315782,0.00459114950041907,0.25,FALSE,wi_statewide_2020_04_01.csv
0.998899732420133,0.04098475392677024,0.0327374255413136,0.06059828,0.25,TRUE,wi_statewide_2020_04_01.csv
0.00110026757986705,3.1304359579599e-4,-0.00344184894626662,0.0125350942036044,0.5,FALSE,wi_statewide_2020_04_01.csv
0.998899732420133,0.04098475392677024,0.0354321914532418,0.0913436340449652,0.5,TRUE,wi_statewide_2020_04_01.csv
0.00110026757986705,3.1304359579599e-4,-3.6112927232132e-4,0.0337946612833973,0.75,FALSE,wi_statewide_2020_04_01.csv
0.998899732420133,0.04098475392677024,0.0376286756681849,0.190820255014879,0.75,TRUE,wi_statewide_2020_04_01.csv
0.01554775381528982,0.00545245606092347,0.00299424582484559,0.01555396,0.25,FALSE,md_statewide_2020_04_01.csv
0.9844522461847102,0.00622323443392577,0.0043877586599158,0.01606188,0.25,TRUE,md_statewide_2020_04_01.csv
0.01554775381528982,0.00545245606092347,0.00663042041538001,0.02981719,0.5,FALSE,md_statewide_2020_04_01.csv
0.9844522461847102,0.00622323443392577,0.007178658225772,0.03142158,0.5,TRUE,md_statewide_2020_04_01.csv
0.01554775381528982,0.00545245606092347,0.0110229424537811,0.0686227205597142,0.75,FALSE,md_statewide_2020_04_01.csv
0.9844522461847102,0.00622323443392577,0.0115990382762629,0.0757594,0.75,TRUE,md_statewide_2020_04_01.csv
