prop,naive_estimate,lower_bound,upper_bound,query_threshold,dataset_name
0,0.00132313525182446,0,0.0365011542375043,0.75,wi_statewide_2020_04_01.csv
0.25,0.0047446285932282,0.00350445669910396,0.0488051589963222,0.75,wi_statewide_2020_04_01.csv
0.5,0.009704089192025,0.00785607435200677,0.0659101531796752,0.75,wi_statewide_2020_04_01.csv
0.75,0.0182273044278782,0.0162366156112393,0.100327422503369,0.75,wi_statewide_2020_04_01.csv
1,0.03794493613929525,0.0349648534691165,0.180134344380498,0.75,wi_statewide_2020_04_01.csv
0,0.00571570643515959,0.004423593187924,0.01539739,0.25,md_statewide_2020_04_01.csv
0.25,0.00579423209655023,0.00361569037508694,0.0149715,0.25,md_statewide_2020_04_01.csv
0.5,0.00583036077966168,0.00300473878113311,0.0149427261121155,0.25,md_statewide_2020_04_01.csv
0.75,0.00590666400217449,0.00333031295873451,0.0150309024429452,0.25,md_statewide_2020_04_01.csv
1,0.00595934978347157,0.00328420294585997,0.015211303258715,0.25,md_statewide_2020_04_01.csv
0,0.00571570643515959,0.00727467798025763,0.03149187,0.5,md_statewide_2020_04_01.csv
0.25,0.00577422106403106,0.00695437265793693,0.02992948,0.5,md_statewide_2020_04_01.csv
0.5,0.00582285184873192,0.00676333049771483,0.03050438,0.5,md_statewide_2020_04_01.csv
0.75,0.00590415940187065,0.00729789629561278,0.03137911,0.5,md_statewide_2020_04_01.csv
1,0.00595934978347157,0.00713604066285202,0.03088146,0.5,md_statewide_2020_04_01.csv
0,0.00571570643515959,0.0112119771413726,0.07024083,0.75,md_statewide_2020_04_01.csv
0.25,0.00577046899543371,0.0109915072820061,0.07193432,0.75,md_statewide_2020_04_01.csv
0.5,0.00583661822210338,0.0111368461209871,0.07443763,0.75,md_statewide_2020_04_01.csv
0.75,0.0058953933008072,0.01123292882809,0.07440157,0.75,md_statewide_2020_04_01.csv
1,0.00595934978347157,0.0110892419347622,0.0719587,0.75,md_statewide_2020_04_01.csv
